MI0000589	rno-mir-322;rno-mir-322-1;
MI0000591	rno-mir-323;
MI0000593	rno-mir-301;rno-mir-301a;
MI0000594	rno-mir-324;
MI0000596	rno-mir-325;
MI0000599	rno-mir-326;
MI0000600	rno-mir-327;
MI0000601	rno-let-7d;
MI0000602	rno-mir-328;rno-mir-328a;
MI0000604	rno-mir-329;
MI0000606	rno-mir-330;
MI0000608	rno-mir-331;
MI0000610	rno-mir-333;
MI0000611	rno-mir-140;
MI0000612	rno-mir-335;
MI0000613	rno-mir-336;
MI0000614	rno-mir-337;
MI0000616	rno-mir-148b;
MI0000618	rno-mir-338;
MI0000620	rno-mir-339;
MI0000622	rno-mir-340;rno-mir-340-1;
MI0000624	rno-mir-341;
MI0000626	rno-mir-342;
MI0000628	rno-mir-343;
MI0000629	rno-mir-344;rno-mir-344-1;rno-mir-344a-1;
MI0000631	rno-mir-345;
MI0000633	rno-mir-346;
MI0000635	rno-mir-347;
MI0000636	rno-mir-349;
MI0000637	rno-mir-129;rno-mir-129-2;
MI0000638	rno-mir-20;rno-mir-20a;
MI0000639	rno-mir-350;rno-mir-350-1;
MI0000641	rno-mir-7;rno-mir-7-1;rno-mir-7a-1;
MI0000642	rno-mir-351;rno-mir-351-1;
MI0000644	rno-mir-352;
MI0000645	rno-mir-135b;
MI0000647	rno-mir-151;
MI0000648	rno-mir-101b;
MI0000827	rno-let-7a-1;
MI0000828	rno-let-7a-2;
MI0000829	rno-let-7b;
MI0000830	rno-let-7c-1;
MI0000831	rno-let-7c-2;
MI0000832	rno-let-7e;
MI0000833	rno-let-7f-1;
MI0000834	rno-let-7f-2;
MI0000835	rno-let-7i;
MI0000836	rno-mir-7-2;rno-mir-7a-2;
MI0000837	rno-mir-7b;
MI0000838	rno-mir-9-1;rno-mir-9a-1;
MI0000839	rno-mir-9-3;rno-mir-9a-3;
MI0000840	rno-mir-9-2;rno-mir-9a-2;
MI0000841	rno-mir-10a;
MI0000842	rno-mir-10b;
MI0000843	rno-mir-15b;
MI0000844	rno-mir-16;
MI0000845	rno-mir-17;rno-mir-17-1;
MI0000846	rno-mir-18;rno-mir-18a;
MI0000847	rno-mir-19b-1;
MI0000848	rno-mir-19b-2;
MI0000849	rno-mir-19a;
MI0000850	rno-mir-21;
MI0000851	rno-mir-22;
MI0000852	rno-mir-23a;
MI0000853	rno-mir-23b;
MI0000854	rno-mir-24-1;
MI0000855	rno-mir-24-2;
MI0000856	rno-mir-25;
MI0000857	rno-mir-26a;
MI0000858	rno-mir-26b;
MI0000859	rno-mir-27b;
MI0000860	rno-mir-27a;
MI0000861	rno-mir-28;
MI0000862	rno-mir-29b-2;
MI0000863	rno-mir-29a;
MI0000864	rno-mir-29b-1;
MI0000865	rno-mir-29c;rno-mir-29c-1;
MI0000866	rno-mir-30c-1;
MI0000867	rno-mir-30e;
MI0000868	rno-mir-30b;
MI0000869	rno-mir-30d;
MI0000870	rno-mir-30a;
MI0000871	rno-mir-30c-2;
MI0000872	rno-mir-31;rno-mir-31a;
MI0000873	rno-mir-32;
MI0000874	rno-mir-33;
MI0000875	rno-mir-34b;
MI0000876	rno-mir-34c;
MI0000877	rno-mir-34a;
MI0000878	rno-mir-92-1;rno-mir-92a-1;
MI0000879	rno-mir-92-2;rno-mir-92a-2;
MI0000880	rno-mir-93;
MI0000881	rno-mir-96;
MI0000882	rno-mir-98;
MI0000883	rno-mir-99a;
MI0000884	rno-mir-99b;
MI0000885	rno-mir-100;
MI0000886	rno-mir-101;rno-mir-101a;
MI0000887	rno-mir-103-2;
MI0000888	rno-mir-103-1;
MI0000889	rno-mir-106b;
MI0000890	rno-mir-107;
MI0000891	rno-mir-122a;rno-mir-122;
MI0000892	rno-mir-124a-3;rno-mir-124-3;
MI0000893	rno-mir-124a-1;rno-mir-124-1;
MI0000894	rno-mir-124a-2;rno-mir-124-2;
MI0000895	rno-mir-125a;
MI0000896	rno-mir-125b-1;
MI0000897	rno-mir-125b-2;
MI0000898	rno-mir-126;rno-mir-126a;
MI0000899	rno-mir-127;
MI0000900	rno-mir-128a;rno-mir-128-1;
MI0000901	rno-mir-128b;rno-mir-128-2;
MI0000902	rno-mir-129-1;
MI0000903	rno-mir-130a;
MI0000904	rno-mir-130b;
MI0000905	rno-mir-132;
MI0000906	rno-mir-133a;
MI0000907	rno-mir-134;
MI0000908	rno-mir-135a;
MI0000909	rno-mir-136;
MI0000910	rno-mir-137;
MI0000911	rno-mir-138-2;
MI0000912	rno-mir-138-1;
MI0000913	rno-mir-139;
MI0000914	rno-mir-141;
MI0000915	rno-mir-142;
MI0000916	rno-mir-143;
MI0000917	rno-mir-144;
MI0000918	rno-mir-145;
MI0000919	rno-mir-146;rno-mir-146a;
MI0000920	rno-mir-150;
MI0000921	rno-mir-152;
MI0000922	rno-mir-153;
MI0000923	rno-mir-154;
MI0000924	rno-mir-181c;
MI0000925	rno-mir-181a;rno-mir-181a-2;
MI0000926	rno-mir-181b-1;
MI0000927	rno-mir-181b-2;
MI0000928	rno-mir-183;
MI0000929	rno-mir-184;
MI0000930	rno-mir-185;
MI0000931	rno-mir-186;
MI0000932	rno-mir-187;
MI0000933	rno-mir-190;rno-mir-190a;rno-mir-190a-1;
MI0000934	rno-mir-191;rno-mir-191a;
MI0000935	rno-mir-192;
MI0000936	rno-mir-193;rno-mir-193a;
MI0000937	rno-mir-194-1;
MI0000938	rno-mir-194-2;
MI0000939	rno-mir-195;
MI0000940	rno-mir-196;rno-mir-196a;
MI0000941	rno-mir-199a;
MI0000942	rno-mir-200c;
MI0000943	rno-mir-200a;
MI0000944	rno-mir-200b;
MI0000945	rno-mir-203;rno-mir-203a;
MI0000946	rno-mir-204;
MI0000947	rno-mir-205;
MI0000948	rno-mir-206;
MI0000949	rno-mir-208;rno-mir-208a;
MI0000950	rno-mir-210;
MI0000951	rno-mir-211;
MI0000952	rno-mir-212;
MI0000953	rno-mir-213;rno-mir-181a-1;
MI0000954	rno-mir-214;
MI0000955	rno-mir-216;rno-mir-216a;
MI0000956	rno-mir-217;
MI0000957	rno-mir-218-2;rno-mir-218a-2;
MI0000958	rno-mir-218-1;rno-mir-218a-1;
MI0000959	rno-mir-219-1;rno-mir-219a-1;
MI0000960	rno-mir-219-2;rno-mir-219a-2;
MI0000961	rno-mir-221;
MI0000962	rno-mir-222;
MI0000963	rno-mir-223;
MI0000964	rno-mir-290;
MI0000965	rno-mir-291;rno-mir-291a;
MI0000966	rno-mir-292;
MI0000967	rno-mir-296;
MI0000968	rno-mir-297;
MI0000969	rno-mir-298;
MI0000970	rno-mir-299;rno-mir-299a;
MI0000971	rno-mir-300;
MI0000972	rno-mir-320;
MI0000973	rno-mir-321;
MI0001152	rno-mir-196b;rno-mir-196b-1;
MI0001423	rno-mir-421;
MI0001639	rno-mir-448;
MI0001643	rno-mir-429;
MI0001650	rno-mir-449;rno-mir-449a;
MI0001654	rno-mir-450;rno-mir-450a;
MI0001656	rno-mir-365;
MI0001722	rno-mir-431;
MI0001724	rno-mir-433;
MI0001731	rno-mir-451;
MI0003477	rno-mir-489;
MI0003478	rno-mir-383;
MI0003479	rno-mir-207;
MI0003480	rno-mir-501;
MI0003481	rno-mir-361;
MI0003482	rno-mir-215;
MI0003483	rno-mir-224;
MI0003485	rno-mir-483;
MI0003486	rno-mir-370;
MI0003487	rno-mir-377;
MI0003488	rno-mir-412;
MI0003489	rno-mir-1;
MI0003490	rno-mir-133b;
MI0003524	rno-mir-540;
MI0003525	rno-mir-543;
MI0003526	rno-mir-539;
MI0003527	rno-mir-541;
MI0003528	rno-mir-542;rno-mir-542-1;
MI0003540	rno-mir-493;
MI0003541	rno-mir-379;
MI0003542	rno-mir-494;
MI0003543	rno-mir-376c;
MI0003544	rno-mir-376b;
MI0003545	rno-mir-376a;
MI0003546	rno-mir-381;
MI0003547	rno-mir-487b;
MI0003548	rno-mir-382;
MI0003549	rno-mir-485;
MI0003550	rno-mir-409;rno-mir-409a;
MI0003551	rno-mir-369;
MI0003552	rno-mir-374;
MI0003553	rno-mir-363;
MI0003554	rno-mir-20b;
MI0003555	rno-mir-503;rno-mir-503-1;
MI0003719	rno-mir-378;rno-mir-378a;
MI0003720	rno-mir-505;
MI0003721	rno-mir-499;
MI0003722	rno-mir-664-1;
MI0003723	rno-mir-664-2;
MI0003724	rno-mir-497;
MI0006112	rno-mir-466b-1;
MI0006113	rno-mir-466b-2;
MI0006114	rno-mir-466c;
MI0006115	rno-mir-743b;
MI0006116	rno-mir-871;
MI0006117	rno-mir-872;
MI0006118	rno-mir-874;
MI0006119	rno-mir-877;
MI0006120	rno-mir-878;
MI0006121	rno-mir-879;
MI0006122	rno-mir-880;
MI0006123	rno-mir-881;
MI0006126	rno-mir-883;
MI0006130	rno-mir-147;
MI0006131	rno-mir-17-2;
MI0006132	rno-mir-181d;
MI0006133	rno-mir-182;
MI0006134	rno-mir-188;
MI0006135	rno-mir-190b;
MI0006136	rno-mir-196c;
MI0006137	rno-mir-301b;
MI0006140	rno-mir-375;
MI0006141	rno-mir-380;
MI0006142	rno-mir-384;
MI0006143	rno-mir-410;
MI0006144	rno-mir-411;
MI0006145	rno-mir-423;
MI0006146	rno-mir-425;
MI0006147	rno-mir-434;rno-mir-434-1;
MI0006148	rno-mir-455;
MI0006149	rno-mir-463;
MI0006150	rno-mir-471;
MI0006151	rno-mir-484;
MI0006152	rno-mir-495;
MI0006153	rno-mir-500;
MI0006154	rno-mir-532;
MI0006155	rno-mir-598;rno-mir-598-1;
MI0006156	rno-mir-671;
MI0006157	rno-mir-672;
MI0006158	rno-mir-673;
MI0006159	rno-mir-674;
MI0006160	rno-mir-708;
MI0006161	rno-mir-742;
MI0006162	rno-mir-743a;
MI0006163	rno-mir-758;
MI0006164	rno-mir-760;
MI0006165	rno-mir-770;
MI0006166	rno-mir-873;
MI0006167	rno-mir-92b;
MI0006168	rno-mir-488;
MI0006169	rno-mir-652;
MI0006342	rno-mir-146b;
MI0006343	rno-mir-551b;
MI0012584	rno-mir-202;
MI0012585	rno-mir-490;
MI0012586	rno-mir-513;
MI0012587	rno-mir-105;
MI0012588	rno-mir-220;rno-mir-220-1;
MI0012589	rno-mir-1224;
MI0012590	rno-mir-362;
MI0012591	rno-mir-511;
MI0012592	rno-mir-504;
MI0012593	rno-mir-544;
MI0012594	rno-mir-568;
MI0012595	rno-mir-582;
MI0012596	rno-mir-592;
MI0012597	rno-mir-615;
MI0012598	rno-mir-628;
MI0012599	rno-mir-632;
MI0012600	rno-mir-653;
MI0012601	rno-mir-668;
MI0012602	rno-mir-802;
MI0012603	rno-mir-675;
MI0012604	rno-mir-875;
MI0012605	rno-mir-876;
MI0012606	rno-mir-665;
MI0012607	rno-mir-935;
